Source,Target,Type,Weight,Label
渠道营销,馆型差异,Directed,1,obsidian_link
熵权法,DCI传播力指数,Directed,1,obsidian_link
熵权法,cnki_2021_645f03f388,Directed,2,obsidian_link
熵权法,传播力评价,Directed,2,obsidian_link
熵权法,图书馆短视频内容质量评价,Directed,1,obsidian_link
熵权法,平台互动-服务触达-阅读转化,Directed,1,obsidian_link
熵权法,服务价值,Directed,1,obsidian_link
熵权法,爆款指数,Directed,1,obsidian_link
爆款指数,cnki_2021_645f03f388,Directed,2,obsidian_link
爆款指数,传播力评价,Directed,2,obsidian_link
爆款指数,内容分析法,Directed,1,obsidian_link
爆款指数,平台互动-服务触达-阅读转化,Directed,1,obsidian_link
爆款指数,服务价值,Directed,2,obsidian_link
爆款指数,熵权法,Directed,1,obsidian_link
用户感知价值,SICAS模型,Directed,2,obsidian_link
用户感知价值,cnki_2023_34348faa1e,Directed,1,obsidian_link
用户感知价值,library_short_video,Directed,1,obsidian_link
用户感知价值,描述性账号调查,Directed,1,obsidian_link
用户感知价值,沉浸式内容,Directed,1,obsidian_link
用户感知价值,软营销,Directed,1,obsidian_link
网络调查法,AARRR 漏斗模型,Directed,1,obsidian_link
网络调查法,cnki_2021_3771e58987,Directed,2,obsidian_link
网络调查法,library_short_video,Directed,1,obsidian_link
网络调查法,内容分析法,Directed,2,obsidian_link
网络调查法,平台适配,Directed,2,obsidian_link
网络调查法,描述性账号调查,Directed,1,obsidian_link
网络调查法,馆型差异,Directed,2,obsidian_link
软营销,SICAS模型,Directed,2,obsidian_link
软营销,cnki_2023_34348faa1e,Directed,1,obsidian_link
软营销,library_short_video,Directed,1,obsidian_link
软营销,描述性账号调查,Directed,1,obsidian_link
软营销,沉浸式内容,Directed,1,obsidian_link
软营销,用户感知价值,Directed,1,obsidian_link
馆型差异,AARRR 漏斗模型,Directed,1,obsidian_link
馆型差异,cnki_2021_3771e58987,Directed,2,obsidian_link
馆型差异,library_short_video,Directed,1,obsidian_link
馆型差异,图书馆短视频相关研究,Directed,1,obsidian_link
馆型差异,平台适配,Directed,2,obsidian_link
馆型差异,描述性账号调查,Directed,1,obsidian_link
馆型差异,服务价值,Directed,1,obsidian_link
馆型差异,网络调查法,Directed,1,obsidian_link
